id,price
1,649.15
2,12352.44
3,136.81
4,682.54
5,812.7
6,8824.04
7,3331.08
8,6152.96
9,2174.63
10,570.55
11,1925.5
12,8480.68
13,321.83
14,15034.98
15,7465.1
16,2551.43
17,3492.13
18,433.09
19,2257.9
20,414.49
21,6464.36
22,8807.77
23,583.65
24,7083.93
25,4652.74
26,1353.08
27,1882.38
28,7245.37
29,68.7
30,2138.98
31,5879.46
32,451.58
33,1525.83
34,5719.57
35,8945.38
36,6501.05
37,555.66
38,5176.92
39,3088.04
40,12073.98
41,4947.31
42,23002.02
43,305.83
44,775.26
45,12683.57
46,8483.28
47,6544.88
48,4865.34
49,5128.34
50,628.34
51,4912.81
52,520.96
53,2594.43
54,9017.95
55,372.18
56,11978.68
57,5936.85
58,2761.86
59,1723.6
60,9987.21
61,1619.91
62,11768.98
63,2993.78
64,709.79
65,175.05
66,5602.9
67,4452.56
68,7938.62
69,2773.58
70,965.84
71,5191.25
72,8229.66
73,6382.96
74,1903.48
75,346.17
76,6964.46
77,979.19
78,1515.41
79,3519.94
80,7207.51
81,14699.25
82,16220.09
83,15472.94
84,632.37
85,1765.95
86,725.7
87,1702.81
88,6079.08
89,1001.98
90,2333.98
91,3250.24
92,18596.43
93,2537.1
94,2974.55
95,3233.38
96,805.14
97,5857.27
98,1068.07
99,153.88
100,452.66
101,6569.83
102,8331.41
103,806.11
104,6145.28
105,1327.37
106,2149.74
107,2418.97
108,9554.43
109,2577.18
110,4006.09
111,2906.26
112,4771.19
113,2973.65
114,3774.73
115,224.78
116,2338.51
117,8180.68
118,17214.7
119,2288.37
120,3032.74
121,261.43
122,1189.07
123,1265.97
124,6284.67
125,1680.59
126,6561.98
127,4191.59
128,997.45
129,5763.42
130,502.77
131,3455.26
132,6837.16
133,3116.28
134,2925.63
135,10085.22
136,9545.42
137,6324.42
138,7787.15
139,521.64
140,5413.87
141,3444.73
142,1342.04
143,4866.6
144,6494.1
145,14709.86
146,880.77
147,11878.86
148,4226.71
149,8854.83
150,10.0
151,5739.41
152,761.26
153,13005.73
154,11985.72
155,810.83
156,838.02
157,6572.43
158,3105.28
159,1125.29
160,989.45
161,9287.41
162,8214.05
163,2321.2
164,515.14
165,938.04
166,4292.29
167,1027.14
168,5300.5
169,1838.03
170,901.07
171,622.49
172,12087.4
173,5055.22
174,2466.28
175,3695.21
176,1148.79
177,2240.95
178,8473.22
179,412.06
180,836.93
181,5491.31
182,561.97
183,3626.49
184,3354.43
185,789.39
186,1169.46
187,46.08
188,11640.02
189,685.05
190,592.26
191,879.58
192,1255.25
193,1053.49
194,4536.65
195,3912.87
196,943.1
197,611.27
198,2145.22
199,12218.32
200,4176.37
201,3310.09
202,8922.91
203,1214.22
204,991.42
205,377.06
206,10567.7
207,5418.72
208,3072.67
209,1381.42
210,687.72
211,10034.77
212,852.92
213,13503.12
214,3305.38
215,354.14
216,6053.4
217,112.48
218,793.34
219,22366.18
220,4221.31
221,2624.95
222,270.51
223,247.01
224,4345.41
225,873.55
226,10972.5
227,510.6
228,1590.04
229,3148.07
230,6598.36
231,911.52
232,1454.25
233,16963.3
234,3264.28
235,19406.74
236,10906.69
237,2377.24
238,6124.26
239,2284.67
240,1371.13
241,1393.79
242,704.66
243,9071.35
244,5765.88
245,3650.89
246,6978.63
247,808.59
248,575.73
249,1530.35
250,8306.33
251,3271.12
252,14103.39
253,1655.02
254,2018.31
255,3943.09
256,1165.16
257,4281.43
258,2701.37
259,6497.14
260,1056.0
261,6533.51
262,624.35
263,1177.48
264,442.2
265,1713.11
266,14944.92
267,2912.63
268,5505.46
269,6683.95
270,5928.52
271,7677.55
272,6547.04
273,14759.23
274,4328.19
275,1267.44
276,999.61
277,1006.48
278,1030.26
279,5345.72
280,830.97
281,3670.52
282,3552.82
283,8236.91
284,6677.73
285,1334.05
286,6971.22
287,9434.83
288,10399.72
289,3559.63
290,1083.68
291,1110.24
292,9093.14
293,12275.52
294,881.72
295,5753.61
296,1691.17
297,7122.63
298,625.87
299,1224.01
300,3269.2
301,1213.27
302,5837.51
303,1363.01
304,5857.18
305,717.19
306,7200.21
307,2148.77
308,882.06
309,10169.65
310,26328.25
311,2794.95
312,2684.53
313,343.97
314,8782.36
315,313.74
316,700.33
317,2195.49
318,800.48
319,13982.8
320,1399.06
321,5756.73
322,809.48
323,6658.12
324,109.72
325,480.08
326,1504.15
327,1483.23
328,1736.78
329,2163.08
330,1083.93
331,4906.26
332,5411.2
333,1396.85
334,1883.42
335,12361.08
336,7632.81
337,600.56
338,4844.58
339,20723.78
340,7170.99
341,963.7
342,4310.71
343,3805.79
344,636.43
345,4413.66
346,1638.76
347,677.06
348,5624.83
349,8327.22
350,157.73
351,491.8
352,725.32
353,5062.52
354,1254.04
355,1248.52
356,10562.75
357,1181.44
358,16167.2
359,4732.54
360,8247.64
361,1652.55
362,376.22
363,1484.29
364,7888.48
365,14060.8
366,8014.31
367,743.45
368,2310.71
369,254.62
370,4078.19
371,4807.58
372,3655.82
373,403.51
374,7549.34
375,2746.85
376,13161.17
377,10627.69
378,395.34
379,2392.51
380,737.03
381,366.73
382,635.8
383,728.38
384,2098.14
385,5674.71
386,343.95
387,754.16
